Method,MSE (mean),MSE (std),PSNR (mean),PSNR (std),SSIM (mean),SSIM (std)
Noisy,0.009999725623700809,1.9534524195456898e-05,20.000127368313045,0.00848606040115137,0.4043847147493546,0.12380950950460246
Gaussian,0.0028757634379223164,0.0015792348619261664,25.950254911265873,2.1168028549697095,0.6746232370228232,0.052913152401529516
Median,0.003710043183798701,0.0016701062862096525,24.64958962585409,1.6606633085032338,0.5745485234771649,0.07059649365024931
Wiener,0.002740501486599454,0.0008642524239967276,25.786341647704386,1.1359753109457216,0.6399953334389396,0.07640029193728488
Bayesian Markov,0.009999725623700809,1.9534524195456898e-05,20.000127368313045,0.00848606040115137,0.4043847147493546,0.12380950950460246
NLM,0.0020821748306860937,0.0009939717157784072,27.354294070259808,2.321129655169625,0.7420811695814716,0.07725626525037939
BF,0.0018316266075938002,0.0005499031060139043,27.553666666630043,1.255471126815044,0.7187163379934575,0.05293706958019834
