Image ID,MSE,PSNR,SSIM,Perceptual,Method
BSD100_001,0.010023743890070984,19.989700382379553,0.5440806616347893,0.3130050301551819,Noisy
BSD100_001,0.0043523955110703946,23.61271646289954,0.6528418011142905,0.5265076756477356,Gaussian
BSD100_001,0.005372805134663812,22.697989104968,0.5829437926584526,0.408766508102417,Median
BSD100_001,0.003678534386420497,24.34325179878958,0.67561170323205,0.31394147872924805,Wiener
BSD100_001,0.010023743890070984,19.989700382379553,0.5440806616347893,0.3130050301551819,Bayesian Markov
BSD100_001,0.0032387723648015982,24.896195750477588,0.6629533480964098,0.267047643661499,NLM
BSD100_001,0.0025095465556027622,26.00404743136403,0.7512747214896834,0.1961326152086258,BF
BSD100_002,0.009999012963215117,20.00042868578589,0.30516005849926814,0.5250338912010193,Noisy
BSD100_002,0.0021140429078366782,26.748862022473304,0.6485289893051216,0.4648107886314392,Gaussian
BSD100_002,0.0028618569168644683,25.433520832839953,0.5213207397148519,0.40786808729171753,Median
BSD100_002,0.002263321161578351,26.45253815994494,0.5808987794418675,0.3124062716960907,Wiener
BSD100_002,0.009999012963215117,20.00042868578589,0.30516005849926814,0.5250338912010193,Bayesian Markov
BSD100_002,0.0014154207779669677,28.49114433366789,0.8088478857793086,0.16646215319633484,NLM
BSD100_002,0.0014944588986460475,28.255160246438905,0.675274868049034,0.2280290722846985,BF
BSD100_003,0.009970366584003227,20.012888735355922,0.31808193033256965,0.5979106426239014,Noisy
BSD100_003,0.0028284408205623934,25.484529035673997,0.6479781004096682,0.6065279245376587,Gaussian
BSD100_003,0.003719116100802,24.29560263923731,0.5223480458173378,0.5287846922874451,Median
BSD100_003,0.0023767222990676135,26.240215591334454,0.5973974760230183,0.43204373121261597,Wiener
BSD100_003,0.009970366584003227,20.012888735355922,0.31808193033256965,0.5979106426239014,Bayesian Markov
BSD100_003,0.0014507409212574747,28.38410138571544,0.8127801055630745,0.26810145378112793,NLM
BSD100_003,0.0015186002661733975,28.185565283369197,0.6874630502293338,0.3160841763019562,BF
BSD100_004,0.009994166963152477,20.002533994831747,0.32511232592709255,0.721092700958252,Noisy
BSD100_004,0.0015157049373281358,28.193853346949407,0.7378546136232623,0.4620755910873413,Gaussian
BSD100_004,0.002342716447770692,26.302802733410218,0.6231026212427068,0.4659556746482849,Median
BSD100_004,0.002058630796594081,26.864215345763935,0.6530891474515691,0.38233834505081177,Wiener
BSD100_004,0.009994166963152477,20.002533994831747,0.32511232592709255,0.721092700958252,Bayesian Markov
BSD100_004,0.0013827838072479398,28.592457147993173,0.7715591534307453,0.25730031728744507,NLM
BSD100_004,0.0013281447248526448,28.76754598326217,0.7362566233915642,0.3012608587741852,BF
BSD100_005,0.009994310620040983,20.00247156947323,0.44552024980871846,0.5108844041824341,Noisy
BSD100_005,0.0026721528605087486,25.731387016693233,0.7052819104907385,0.5299928784370422,Gaussian
BSD100_005,0.0035906606812197107,24.448256339261842,0.6158374317237413,0.44564178586006165,Median
BSD100_005,0.0027192621490319297,25.65548922463986,0.6853607254627615,0.35933297872543335,Wiener
BSD100_005,0.009994310620040983,20.00247156947323,0.44552024980871846,0.5108844041824341,Bayesian Markov
BSD100_005,0.002321438018526971,26.342429073331793,0.750437440582925,0.27485135197639465,NLM
BSD100_005,0.001986735964237351,27.018598464755588,0.7430703241252296,0.26941460371017456,BF
BSD100_006,0.009993834709973509,20.002678377171307,0.23065219006619334,0.8395505547523499,Noisy
BSD100_006,0.0012493908487585335,29.033016793954612,0.6778669073204971,0.5741744041442871,Gaussian
BSD100_006,0.0020484328450940713,26.885782691934548,0.5333377311960626,0.5649079084396362,Median
BSD100_006,0.001974725682349221,27.044932255648078,0.5515877660058172,0.5057637691497803,Wiener
BSD100_006,0.009993834709973509,20.002678377171307,0.23065219006619334,0.8395505547523499,Bayesian Markov
BSD100_006,0.0008336523632834817,30.790150143290393,0.8352239490541461,0.1731865406036377,NLM
BSD100_006,0.0011275449388794278,29.478661400766725,0.6800312950063533,0.361854612827301,BF
BSD100_007,0.009986076254385398,20.00605121964831,0.45305365344673115,0.4236912131309509,Noisy
BSD100_007,0.0024784426370788814,26.05821128277249,0.7499790629562294,0.3701711595058441,Gaussian
BSD100_007,0.0031733489448721674,24.984821697841927,0.6708930427201839,0.29956334829330444,Median
BSD100_007,0.002393435572842836,26.209782584830265,0.7273143485849708,0.21164947748184204,Wiener
BSD100_007,0.009986076254385398,20.00605121964831,0.45305365344673115,0.4236912131309509,Bayesian Markov
BSD100_007,0.002135423308223642,26.70516021246459,0.7277483903318106,0.23470109701156616,NLM
BSD100_007,0.0018085986811213635,27.426577901938856,0.7642393530459811,0.16228275001049042,BF
BSD100_008,0.009982189178765194,20.007742038031676,0.50750946722348,0.371559739112854,Noisy
BSD100_008,0.00465021285754054,23.32527167381115,0.6716761741368754,0.5373370051383972,Gaussian
BSD100_008,0.005589465267791486,22.526297381521516,0.6014183779334679,0.417508065700531,Median
BSD100_008,0.003321442068962508,24.786733179173947,0.7004016720062225,0.2928544878959656,Wiener
BSD100_008,0.009982189178765194,20.007742038031676,0.50750946722348,0.371559739112854,Bayesian Markov
BSD100_008,0.003277595447701311,24.844446522522453,0.6564118482853618,0.3555719256401062,NLM
BSD100_008,0.002392817480180534,26.21090427326195,0.7442343297167621,0.20353487133979797,BF
BSD100_009,0.010010171099755891,19.995584992394846,0.39388215611680405,0.5712094306945801,Noisy
BSD100_009,0.002244099424525052,26.48957905630649,0.7111441066196816,0.48084360361099243,Gaussian
