Method,MSE (mean),MSE (std),PSNR (mean),PSNR (std),SSIM (mean),SSIM (std),Perceptual (mean),Perceptual (std)
Noisy,0.010001407226262773,8.889679466044007e-06,19.999390590533043,0.0038597497494227964,0.46173810694492373,0.11585092363167714,0.40511823803186414,0.14599852453456272
Gaussian,0.004773872520756721,0.002980183674491805,23.96387731857291,2.569043367280506,0.6738171918054562,0.05216461221857092,0.4443403396010399,0.10372182844557121
Median,0.005076544353484283,0.0026045673665272616,23.441445124737303,2.057569546089427,0.5927834151929353,0.06924032426825538,0.35977274894714356,0.10180226389725144
Wiener,0.003190741404850318,0.0011205523800201008,25.19199699938297,1.3840066348270272,0.6696055601208658,0.0664259123878596,0.27408000469207766,0.08547179592494253
Bayesian Markov,0.010001407226262773,8.889679466044007e-06,19.999390590533043,0.0038597497494227964,0.46173810694492373,0.11585092363167714,0.40511823803186414,0.14599852453456272
NLM,0.0018678394443320393,0.0008203995563966916,27.725138076627736,2.0247210925224217,0.820927990932544,0.0602688903308984,0.14372813427820802,0.06606778430758584
BF,0.0019895650538199875,0.0005235660569980122,27.161112217592628,1.1478860111418365,0.7454850006867776,0.05352424405309087,0.18416944153606887,0.07472668614012024
